date,company,trip_count,fare_amount
2015-05-20,1,3840,14.244802083
2015-05-21,1,3824,14.174751569
2015-05-21,2,4323,14.028452464
2015-05-22,2,4181,13.506051184
2015-05-22,1,3795,13.53426087
2015-05-23,2,3985,12.643663739
2015-05-23,1,3530,12.546458924
2015-05-24,1,3098,12.647837314
2015-05-24,2,3450,12.974057971
2015-05-25,2,3152,13.515545685
2015-05-25,1,2838,13.247357294
2015-05-26,1,3533,13.410416077
2015-05-26,2,3901,13.614329659
2015-05-27,2,4085,13.206854345
2015-05-27,1,3617,13.312413602
2015-05-28,1,3652,13.762322015
2015-05-28,2,4297,13.745694671
2015-05-29,1,3864,13.696557971
2015-05-29,2,4492,13.687110419
2015-05-30,1,4170,12.865467626
2015-05-30,2,4604,12.59730669
2015-05-31,2,3784,14.582320296
2015-05-31,1,3318,13.93429777
2015-06-01,2,3930,13.734987277
2015-06-01,1,3594,13.549387869
2015-06-02,2,4184,13.560707457
2015-06-02,1,3686,13.724023332
2015-06-03,2,4153,13.573320491
2015-06-03,1,3752,13.848747335
2015-06-04,1,3828,14.046891327
2015-06-04,2,4448,14.017254946
2015-06-05,1,3850,13.622857143
2015-06-05,2,4519,13.703252932
2015-06-06,1,4072,12.531434185
2015-06-06,2,4639,12.730437594
2015-06-07,1,3760,13.621542553
2015-06-07,2,4097,13.941664633
2015-06-08,1,3524,13.606555051
2015-06-08,2,3898,13.728707029
2015-06-09,2,3996,13.373498498
2015-06-09,1,3507,13.425862561
2015-06-10,1,3675,13.766462585
2015-06-10,2,4198,13.412101
2015-06-11,2,4387,13.810918623
2015-06-11,1,3876,13.863132095
2015-06-12,2,4357,13.792804682
2015-06-12,1,3910,13.5657289
2015-06-13,1,3855,12.808690013
2015-06-13,2,4379,12.814843572
2015-06-14,2,3962,13.554391721
2015-06-14,1,3545,13.123272214
2015-06-15,2,3756,13.584797657
2015-06-15,1,3431,13.75735937
2015-06-16,2,3931,13.22284406
2015-06-16,1,3566,13.416362872
2015-06-17,2,4193,13.358812306
2015-06-17,1,3741,13.53255814
2015-06-18,2,4310,13.586728538
2015-06-18,1,3695,13.59932341
2015-06-19,2,4371,13.55708076
2015-06-19,1,3781,13.337794234
2015-06-20,2,4283,12.874854074
2015-06-20,1,3659,12.522957092
2015-06-21,1,3328,13.26171875
2015-06-21,2,3921,13.270084162
2015-06-22,2,3875,13.303096774
2015-06-22,1,3278,13.859670531
2015-06-23,2,4001,13.329542614
2015-06-23,1,3510,13.154216524
2015-06-24,1,3497,13.783385759
2015-06-24,2,4153,13.785095112
2015-06-25,2,4184,14.019956979
2015-06-25,1,3584,13.914760045
2015-06-26,2,4185,13.956630824
2015-06-26,1,3684,13.486834962
2015-06-27,1,3899,12.844575532
2015-06-27,2,4448,12.833745504
2015-06-28,2,3513,14.085824082
2015-06-28,1,3024,13.78505291
2015-06-29,1,3273,13.132294531
2015-06-29,2,3558,13.309302979
2015-06-30,1,3217,13.135222257
2015-06-30,2,3818,13.527632268
2015-07-01,2,3984,13.32561496
2015-07-01,1,3308,13.122430472
2015-07-02,1,3112,13.077442159
2015-07-02,2,3601,13.396417662
2015-07-03,2,3148,12.368487929
2015-07-03,1,2769,12.334958469
2015-07-04,2,2823,12.53382926
2015-07-04,1,2245,12.445657016
2015-07-05,2,3031,13.127515671
2015-07-05,1,2488,13.527749196
2015-07-06,2,3258,13.007213014
2015-07-06,1,2749,12.940341943
2015-07-07,2,3614,12.951023796
2015-07-07,1,3324,12.913357401
2015-07-08,1,3434,13.080428072
2015-07-08,2,4063,12.901550578
2015-07-09,2,4087,12.969904575
2015-07-09,1,3386,13.282959244
2015-07-10,1,3491,13.299914065
2015-07-10,2,4047,13.460526316
2015-07-11,2,4231,12.213897424
2015-07-11,1,3701,12.41664415
2015-07-12,2,3952,12.864878543
2015-07-12,1,3253,13.014525054
2015-07-13,2,3514,13.365253273
2015-07-13,1,3233,13.343810702
2015-07-14,2,3958,13.054951996
2015-07-14,1,3327,13.264367298
2015-07-15,1,3419,13.524363849
2015-07-15,2,3943,13.540451433
2015-07-16,2,4039,14.135677148
2015-07-16,1,3533,14.102618172
2015-07-17,1,3327,13.736699729
2015-07-17,2,3496,14.041762014
2015-07-18,1,3720,12.584811828
2015-07-18,2,4099,12.369846304
2015-07-19,2,4129,12.864858319
2015-07-19,1,3552,13.087440878
